Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,Finrat,Savings
bad,0,owner,36,23,single,no_rec,partime,45,122,2500,0,400,400,100,6.93
good,14,priv,24,51,married,no_rec,partime,75,198,1000,0,450,650,69.23076923,6.56
good,10,owner,36,39,married,no_rec,freelance,75,150,3000,0,1000,1394,71.73601148,2.7
good,12,parents,36,35,single,no_rec,fixed,35,170,0,0,1100,1542,71.33592737,4.418181818
good,32,owner,24,62,married,no_rec,freelance,45,119,8500,0,700,1200,58.33333333,2.537142857
good,10,owner,24,56,married,no_rec,freelance,45,208,13500,0,500,1560,32.05128205,7.824
good,7,owner,48,32,married,no_rec,fixed,75,115,3000,0,800,1200,66.66666667,2.4
bad,1,rent,54,36,married,no_rec,fixed,70,99,0,0,950,950,100,1.648421053
good,30,owner,60,64,married,no_rec,fixed,45,120,14000,0,1125,1300,86.53846154,4
bad,5,rent,48,31,single,no_rec,fixed,44,90,0,0,1300,1700,76.47058824,1.698461538
good,24,owner,60,42,married,no_rec,fixed,75,137,4000,0,900,1167,77.12082262,4.133333333
good,0,owner,60,61,widow,no_rec,others,35,230,50000,0,950,1150,82.60869565,12.31578947
bad,0,owner,60,32,married,yes_rec,fixed,45,142,7000,3000,1250,1566,79.82120051,3.216
bad,2,owner,60,43,married,no_rec,partime,75,71,3000,0,1500,1552,96.64948454,-0.16
good,1,parents,60,26,single,no_rec,partime,35,120,0,0,1150,1300,88.46153846,4.434782609
good,1,owner,60,49,widow,no_rec,freelance,35,233,15900,4500,2100,2104,99.80988593,4.371428571
good,15,owner,36,47,married,no_rec,fixed,75,289,3500,0,1500,2154,69.63788301,5.136
bad,2,rent,36,27,separated,no_rec,fixed,48,128,0,0,450,545,82.56880734,6.4
good,25,owner,36,52,married,no_rec,freelance,60,150,15000,0,750,1778,42.18222722,4.32
good,8,owner,60,28,married,no_rec,fixed,60,145,4000,1000,1600,1718,93.13154831,2.8125
good,5,owner,60,31,married,no_rec,fixed,75,90,4000,0,900,1500,60,1
good,0,rent,60,32,married,no_rec,fixed,105,301,0,0,1200,1274,94.19152276,9.8
good,5,owner,36,51,married,no_rec,freelance,75,200,2100,1200,900,1015,88.66995074,4.52
good,3,parents,12,37,married,no_rec,freelance,60,150,500,0,500,1701,29.39447384,2.16
bad,1,rent,48,29,married,yes_rec,freelance,85,100,0,0,1000,1345,74.34944238,0.72
good,7,parents,60,26,single,no_rec,fixed,35,100,0,0,1000,1238,80.77544426,3.9
good,4,parents,30,27,single,no_rec,fixed,45,100,5000,0,500,1048,47.70992366,3.3
good,6,owner,24,63,married,no_rec,fixed,60,155,4000,0,600,1048,57.2519084,3.8
good,14,owner,24,55,married,no_rec,fixed,90,715,5000,0,800,1324,60.42296073,18.75
good,3,rent,60,28,married,no_rec,fixed,70,245,0,0,1830,2201,83.14402544,5.737704918
good,8,rent,48,31,married,no_rec,fixed,90,150,0,0,1100,1430,76.92307692,2.618181818
bad,4,parents,42,27,single,no_rec,fixed,35,70,0,0,600,926,64.79481641,2.45
good,22,owner,24,40,married,no_rec,fixed,75,190,3000,0,1000,1500,66.66666667,2.76
good,2,owner,36,35,married,no_rec,fixed,75,152,3000,0,1000,1542,64.85084306,2.772
good,15,priv,60,43,married,no_rec,fixed,75,126,3000,0,1350,1360,99.26470588,2.266666667
good,10,owner,18,34,married,no_rec,freelance,75,181,4000,0,600,1000,60,3.18
good,4,owner,60,37,married,no_rec,fixed,60,185,3000,0,1200,1564,76.72634271,6.25
good,9,owner,60,53,married,no_rec,fixed,45,170,2500,0,850,1205,70.53941909,8.823529412
good,22,rent,60,46,married,no_rec,fixed,93,176,7500,0,2000,2200,90.90909091,2.49
good,18,parents,36,36,married,no_rec,freelance,60,238,0,0,900,2214,40.6504065,7.12
good,1,priv,60,46,married,no_rec,fixed,60,115,5500,800,1000,1137,87.95074758,2.82
good,14,owner,48,43,married,no_rec,fixed,45,200,9000,0,600,1025,58.53658537,12.4
good,8,owner,36,31,married,yes_rec,freelance,75,411,9000,4000,800,1593,50.21971124,13.32
good,5,owner,24,43,married,no_rec,fixed,75,93,3000,0,700,1735,40.34582133,0.617142857
good,19,rent,60,38,married,no_rec,fixed,86,108,0,0,1000,1132,88.33922261,1.32
good,14,owner,12,37,married,no_rec,freelance,90,500,4000,0,500,1338,37.36920777,9.84
good,0,other,36,46,married,yes_rec,others,45,45,0,0,900,1100,81.81818182,0
good,9,rent,36,55,married,no_rec,fixed,70,250,30000,0,1750,2276,76.88927944,3.702857143
good,29,owner,48,56,married,no_rec,fixed,45,100,3000,0,900,1360,66.17647059,2.933333333
good,10,owner,36,55,married,no_rec,fixed,60,70,4000,0,1000,1436,69.63788301,0.36
good,10,parents,36,52,married,no_rec,fixed,60,150,0,0,550,612,89.86928105,5.890909091
bad,1,owner,36,29,married,no_rec,fixed,60,70,4500,0,850,1100,77.27272727,0.423529412
good,11,owner,60,39,divorced,yes_rec,fixed,35,263,2500,0,1000,1300,76.92307692,13.68
good,10,owner,60,38,married,no_rec,freelance,75,200,9000,0,1000,2089,47.86979416,7.5
good,5,owner,24,24,single,no_rec,fixed,35,78,6000,3000,500,2262,22.10433245,0.624
good,10,rent,60,28,single,no_rec,fixed,47,120,0,0,600,1054,56.9259962,7.3
good,27,owner,60,53,married,no_rec,fixed,60,125,10000,0,1426,1426,100,2.734922861
bad,0,rent,60,25,single,no_rec,partime,40,50,0,0,1040,1048,99.23664122,0.576923077
bad,25,rent,60,62,married,no_rec,fixed,60,146,0,0,1000,1292,77.3993808,5.16
good,3,parents,60,29,single,no_rec,fixed,35,70,0,0,950,1177,80.71367884,2.210526316
bad,9,parents,60,32,single,yes_rec,fixed,35,105,0,0,1490,1490,100,2.818791946
good,4,rent,36,21,married,no_rec,freelance,101,413,6000,0,750,850,88.23529412,14.976
good,6,rent,36,38,married,no_rec,freelance,95,500,25000,21400,800,1011,79.12957468,8.595
good,9,rent,48,56,married,no_rec,freelance,140,350,0,0,1400,1571,89.11521324,7.2
good,3,owner,36,41,married,no_rec,freelance,75,200,3000,0,1000,1000,100,4.5
bad,22,other,36,46,married,no_rec,fixed,45,138,0,0,250,270,92.59259259,13.392
good,3,owner,60,54,widow,no_rec,others,35,80,4000,0,950,1382,68.74095514,2.842105263
good,30,owner,36,51,married,no_rec,freelance,120,208,15000,0,1500,1713,87.56567426,2.112
good,8,rent,60,52,married,no_rec,fixed,89,137,4000,0,800,1086,73.66482505,3.6
good,38,owner,48,57,married,no_rec,freelance,45,58,12000,0,1500,3262,45.98405886,0.416
good,2,rent,60,33,married,no_rec,fixed,73,130,0,0,1100,1610,68.32298137,3.109090909
good,4,owner,60,33,married,no_rec,fixed,75,123,6000,1000,600,1030,58.25242718,3.8
bad,0,rent,36,29,married,no_rec,partime,78,180,0,0,650,650,100,5.649230769
bad,2,other,48,23,single,no_rec,fixed,35,140,0,0,1950,2175,89.65517241,2.584615385
good,8,owner,24,33,married,no_rec,fixed,75,315,4500,0,400,1780,22.47191011,14.4
bad,1,rent,36,24,married,no_rec,partime,76,164,0,0,900,950,94.73684211,3.52
bad,6,parents,60,28,married,no_rec,freelance,90,325,7000,0,1200,1211,99.09165979,11.75
good,5,owner,60,27,married,no_rec,fixed,45,135,5000,1400,1600,1650,96.96969697,2.85
bad,13,parents,36,33,single,no_rec,fixed,35,109,0,0,350,350,100,7.611428571
good,11,rent,60,32,married,no_rec,fixed,79,185,0,0,950,1117,85.04923903,6.694736842
good,10,owner,24,39,married,no_rec,fixed,45,217,9000,3000,1500,2468,60.77795786,2.272
bad,20,owner,60,51,married,no_rec,freelance,90,300,12500,2500,1340,1740,77.01149425,8.28358209
bad,0,owner,36,39,single,no_rec,freelance,35,77,4000,0,1000,1210,82.6446281,1.512
good,13,owner,48,29,married,no_rec,fixed,60,253,3000,0,670,963,69.57424714,13.82686567
bad,2,owner,36,32,married,no_rec,fixed,75,101,1500,400,1200,1646,72.90400972,0.66
bad,3,owner,36,40,married,yes_rec,freelance,35,200,10000,0,800,800,100,7.425
good,12,owner,36,47,married,no_rec,fixed,75,124,3500,0,460,470,97.87234043,3.834782609
good,20,owner,24,66,married,no_rec,fixed,45,143,10000,0,950,1370,69.34306569,2.475789474
good,3,priv,48,39,separated,no_rec,freelance,35,250,4000,1500,700,839,83.43265793,13.71428571
good,27,owner,60,50,married,no_rec,fixed,75,135,5500,1000,600,1346,44.57652303,5
good,4,rent,60,25,married,no_rec,fixed,57,115,0,0,900,1350,66.66666667,3.866666667
bad,1,owner,60,27,married,no_rec,partime,75,160,4000,3000,1800,2100,85.71428571,1.833333333
good,18,rent,60,54,married,no_rec,fixed,66,214,0,0,1300,1307,99.46442234,6.830769231
good,12,rent,60,42,married,no_rec,fixed,114,390,0,0,1100,1126,97.69094139,15.05454545
good,12,owner,48,35,separated,no_rec,freelance,45,500,200000,0,2380,4786,49.72837443,9.176470588
bad,0,parents,60,23,single,no_rec,partime,35,95,0,0,1400,1478,94.72259811,2.571428571
good,12,owner,60,52,married,no_rec,fixed,75,200,12000,0,1550,1568,98.85204082,4.838709677
good,0,parents,24,22,single,no_rec,partime,35,85,0,0,650,1056,61.5530303,1.846153846
good,10,other,18,48,married,no_rec,fixed,90,214,0,0,1000,1608,62.18905473,2.232
good,2,owner,60,25,married,no_rec,fixed,75,140,3000,0,950,1179,80.57675997,4.105263158
bad,10,other,60,26,married,no_rec,fixed,45,60,0,0,1400,1524,91.86351706,0.642857143
good,8,owner,60,28,married,no_rec,fixed,75,180,4000,0,1300,1730,75.14450867,4.846153846
good,20,owner,30,62,married,no_rec,freelance,60,300,24000,9000,600,823,72.90400972,7.5
good,0,rent,60,33,married,no_rec,freelance,65,200,0,0,700,800,87.5,11.57142857
good,16,parents,60,41,married,no_rec,fixed,75,242,0,0,1300,1482,87.71929825,7.707692308
good,4,owner,60,29,married,no_rec,partime,60,155,5000,2500,900,1110,81.08108108,4.666666667
bad,1,rent,60,37,single,no_rec,fixed,45,100,0,0,1150,1555,73.95498392,2.869565217
good,0,owner,60,31,married,no_rec,fixed,60,105,3500,0,1100,1170,94.01709402,2.454545455
good,15,owner,12,50,married,no_rec,freelance,45,166,2000,0,500,886,56.43340858,2.904
bad,13,rent,60,42,separated,yes_rec,fixed,47,120,0,0,800,1395,57.34767025,5.475
good,19,owner,36,33,married,no_rec,fixed,60,115,6700,2000,1000,2084,47.98464491,1.26
good,15,owner,24,54,married,no_rec,freelance,90,350,150000,0,3800,8800,43.18181818,1.642105263
good,40,owner,36,58,married,no_rec,freelance,75,214,50000,0,1000,1160,86.20689655,5.004
good,9,rent,60,40,married,no_rec,fixed,119,442,6000,1947,900,1211,74.31874484,20.23533333
bad,12,parents,60,31,separated,yes_rec,fixed,35,101,0,0,1300,1300,100,3.046153846
bad,0,owner,36,35,married,yes_rec,fixed,105,122,5200,2000,850,850,100,-0.127058824
good,14,owner,60,64,married,no_rec,freelance,60,250,10000,0,700,1204,58.13953488,16.28571429
good,10,parents,24,29,single,no_rec,freelance,35,90,0,0,600,1528,39.26701571,2.2
good,2,owner,48,33,married,no_rec,fixed,45,160,6000,0,1200,1298,92.44992296,4.6
good,15,owner,18,35,married,no_rec,freelance,60,300,4000,0,300,600,50,14.4
bad,1,parents,48,28,single,no_rec,fixed,35,83,0,0,1000,1320,75.75757576,2.304
good,27,owner,60,59,married,no_rec,freelance,45,200,11000,0,1100,1300,84.61538462,8.454545455
bad,0,other,60,25,married,no_rec,partime,60,60,0,0,1300,1380,94.20289855,0
bad,0,parents,60,23,single,no_rec,partime,35,205,0,0,1400,1426,98.17671809,7.285714286
good,3,owner,24,30,married,no_rec,freelance,75,133,12000,900,1500,5200,28.84615385,0.784
good,8,rent,36,36,married,no_rec,fixed,78,179,0,0,900,1503,59.88023952,4.04
good,3,owner,48,25,single,no_rec,freelance,35,69,4000,0,1200,1449,82.81573499,1.36
good,5,other,60,22,single,no_rec,fixed,45,195,0,0,700,1422,49.22644163,12.85714286
good,9,owner,24,45,married,no_rec,fixed,75,112,4000,0,500,1430,34.96503497,1.776
good,4,owner,30,47,married,no_rec,freelance,90,210,15000,0,1550,1578,98.22560203,2.322580645
good,14,priv,48,36,married,no_rec,fixed,75,155,3500,200,1100,1250,88,3.403636364
good,3,owner,36,36,single,yes_rec,freelance,35,394,16000,0,1500,2260,66.37168142,8.616
good,22,rent,36,60,married,no_rec,fixed,60,149,0,0,200,280,71.42857143,16.02
good,20,rent,48,59,married,no_rec,fixed,57,120,0,0,800,1298,61.63328197,3.78
bad,6,owner,48,58,married,yes_rec,freelance,60,400,86000,0,930,945,98.41269841,17.5483871
good,23,owner,12,37,married,no_rec,fixed,45,165,5000,0,900,1694,53.12868949,1.6
bad,5,owner,36,32,married,no_rec,freelance,75,125,6000,0,600,700,85.71428571,3
good,8,rent,48,26,single,no_rec,fixed,42,74,0,0,600,1290,46.51162791,2.56
good,5,owner,60,40,married,no_rec,fixed,75,86,4900,0,1300,1581,82.22643896,0.507692308
good,20,owner,48,55,married,no_rec,fixed,45,185,5000,0,1000,1383,72.3065799,6.72
good,11,rent,60,30,married,no_rec,fixed,77,165,0,0,1350,1637,82.46792914,3.911111111
good,25,parents,54,43,married,no_rec,fixed,75,110,7000,0,1275,1275,100,1.482352941
bad,2,rent,60,28,married,no_rec,fixed,74,138,0,0,1400,1400,100,2.742857143
good,20,owner,24,47,married,no_rec,freelance,75,300,5000,0,600,832,72.11538462,9
good,9,owner,36,29,single,no_rec,fixed,35,147,3500,0,1886,2886,65.34996535,2.1378579
bad,0,rent,60,48,separated,yes_rec,freelance,35,348,25300,15500,1200,1257,95.46539379,7.9
good,18,parents,60,34,married,no_rec,fixed,60,112,6550,0,600,1346,44.57652303,5.2
good,20,owner,60,53,married,yes_rec,freelance,75,350,6500,0,800,1138,70.29876977,20.625
good,6,owner,12,44,married,no_rec,fixed,45,110,15000,0,300,1801,16.65741255,2.6
bad,0,owner,48,49,married,no_rec,partime,45,75,2000,0,900,1200,75,1.6
good,0,rent,36,51,married,no_rec,fixed,113,230,0,0,950,950,100,4.433684211
good,14,ignore,60,34,married,no_rec,fixed,75,85,8000,0,1400,1589,88.10572687,0.428571429
good,10,owner,48,42,married,no_rec,freelance,75,210,4000,120,1200,1617,74.21150278,5.352
good,19,owner,60,34,married,no_rec,fixed,75,125,5000,0,1200,1200,100,2.5
good,11,owner,60,46,married,no_rec,fixed,75,149,3500,0,1400,2194,63.81039198,3.171428571
good,1,owner,48,31,married,no_rec,fixed,75,201,2500,96,1100,1642,66.99147381,5.456290909
bad,13,other,60,31,married,no_rec,fixed,60,105,0,0,1200,1423,84.32888264,2.25
good,4,rent,12,33,married,no_rec,fixed,78,183,0,0,600,1600,37.5,2.1
bad,9,rent,24,30,single,yes_rec,fixed,46,113,0,0,700,700,100,2.297142857
good,1,owner,24,27,married,no_rec,fixed,45,126,3000,3700,200,300,66.66666667,5.28
good,4,owner,36,48,married,no_rec,freelance,120,300,5000,0,1000,1165,85.83690987,6.48
good,2,owner,60,33,married,no_rec,fixed,75,160,6000,0,1000,1365,73.26007326,5.1
good,2,owner,12,44,married,no_rec,fixed,90,160,7500,0,500,1706,29.30832356,1.68
bad,0,other,36,48,married,yes_rec,freelance,45,89,0,0,1600,2053,77.93472966,0.99
good,21,owner,60,57,married,no_rec,freelance,60,95,8000,0,1000,1700,58.82352941,2.1
good,12,owner,60,34,married,yes_rec,fixed,75,125,5500,4000,950,1462,64.97948016,0.631578947
good,9,rent,60,38,married,no_rec,fixed,87,120,0,0,1177,1300,90.53846154,1.682242991
good,2,rent,36,35,married,no_rec,fixed,126,359,0,0,870,1122,77.54010695,9.64137931
good,24,owner,60,52,married,no_rec,fixed,45,80,4000,0,1200,1257,95.46539379,1.75
good,1,parents,60,28,single,no_rec,partime,35,67,0,0,1050,1387,75.70295602,1.828571429
good,15,owner,48,46,married,no_rec,fixed,90,148,12000,0,1000,1266,78.98894155,2.784
good,19,owner,60,56,married,yes_rec,fixed,45,298,8000,0,1700,2195,77.44874715,8.929411765
good,10,owner,24,52,married,no_rec,fixed,75,318,4500,700,700,2004,34.93013972,8.091428571
good,19,owner,60,35,married,no_rec,fixed,75,185,4000,0,1100,1203,91.43807149,6
good,10,owner,36,45,married,yes_rec,freelance,60,39,9500,250,750,1138,65.90509666,-1.128
good,4,parents,48,29,married,no_rec,fixed,45,194,0,0,1200,1374,87.33624454,5.96
bad,1,parents,60,22,single,no_rec,fixed,35,80,3000,0,1500,1514,99.07529723,1.8
good,2,owner,24,33,married,yes_rec,fixed,75,147,2000,900,400,750,53.33333333,3.78
good,5,owner,24,41,married,no_rec,freelance,105,156,10000,0,800,1894,42.23864836,1.53
good,11,owner,36,37,married,no_rec,fixed,75,178,3000,0,1000,1048,95.41984733,3.708
good,23,owner,24,46,married,no_rec,fixed,75,130,4000,0,400,1369,29.2184076,3.3
bad,4,other,36,19,single,no_rec,partime,35,63,0,0,1000,1035,96.61835749,1.008
bad,5,parents,36,22,single,no_rec,fixed,35,88,0,0,750,1218,61.57635468,2.544
good,15,parents,60,31,married,no_rec,fixed,45,140,0,0,1200,1637,73.3048259,4.75
bad,1,priv,60,44,married,no_rec,partime,45,115,2000,0,750,953,78.69884575,5.6
good,9,owner,60,48,married,yes_rec,fixed,60,83,2500,0,1100,1212,90.75907591,1.254545455
good,4,priv,36,31,married,no_rec,fixed,60,144,3000,0,1000,1218,82.10180624,3.024
good,20,owner,24,53,married,no_rec,freelance,45,200,100000,0,1000,1419,70.4721635,3.72
good,10,other,60,36,married,no_rec,fixed,90,172,3000,0,1100,1100,100,4.472727273
good,2,priv,60,46,married,no_rec,freelance,105,200,4000,500,900,987,91.18541033,6
good,15,owner,60,37,married,no_rec,fixed,60,318,7000,0,1900,2400,79.16666667,8.147368421
good,8,owner,60,34,married,no_rec,fixed,60,177,6300,4000,1370,1375,99.63636364,3.372262774
good,4,owner,48,36,married,no_rec,fixed,60,133,4000,0,1000,1595,62.69592476,3.504
good,4,owner,60,64,single,no_rec,others,35,150,9000,0,984,1054,93.35863378,7.012195122
good,1,owner,36,27,single,no_rec,fixed,35,208,9000,0,1000,1651,60.56935191,6.228
good,10,owner,30,26,married,no_rec,fixed,75,145,1434,0,300,1542,19.45525292,7
good,32,owner,60,53,married,no_rec,fixed,60,157,5000,0,2000,2014,99.30486594,2.91
good,12,owner,60,50,married,no_rec,fixed,45,190,9500,200,1800,2624,68.59756098,4.766666667
bad,0,parents,60,21,single,no_rec,partime,35,86,0,0,1000,1135,88.10572687,3.06
good,20,parents,24,40,single,no_rec,fixed,35,90,0,0,600,1105,54.29864253,2.2
good,6,rent,60,49,married,yes_rec,partime,100,100,30000,0,1500,1500,100,0
bad,4,rent,24,40,married,yes_rec,fixed,56,214,0,0,800,1200,66.66666667,4.74
good,1,rent,60,37,single,no_rec,fixed,45,100,0,0,1150,1555,73.95498392,2.869565217
good,2,rent,48,25,married,no_rec,fixed,57,117,0,0,800,2251,35.53976011,3.6
good,25,owner,18,40,married,no_rec,fixed,45,110,4000,0,455,1542,29.50713359,2.571428571
good,1,rent,36,22,married,no_rec,fixed,62,168,0,0,1200,2186,54.894785,3.18
good,10,owner,48,49,married,no_rec,freelance,45,150,9000,0,1700,1700,100,2.964705882
good,2,owner,60,34,married,no_rec,fixed,45,166,7000,0,600,1180,50.84745763,12.1
bad,13,rent,24,49,married,no_rec,freelance,90,283,0,0,700,800,87.5,6.617142857
bad,10,rent,60,43,married,no_rec,freelance,90,149,0,0,1350,1668,80.9352518,2.622222222
good,20,owner,36,42,married,no_rec,freelance,90,250,4500,0,1500,1750,85.71428571,3.84
good,10,owner,48,28,married,yes_rec,partime,60,120,2500,1500,600,875,68.57142857,3.6
good,1,owner,60,30,married,no_rec,freelance,35,236,3500,1000,1000,1514,66.05019815,11.46
bad,1,owner,60,25,separated,yes_rec,partime,45,277,6000,3500,1700,1950,87.17948718,6.952941176
bad,0,parents,60,22,single,no_rec,partime,35,55,0,0,950,1462,64.97948016,1.263157895
good,5,parents,36,27,single,no_rec,fixed,35,200,4000,0,600,1098,54.64480874,9.9
good,3,parents,60,26,single,no_rec,fixed,45,235,0,0,800,840,95.23809524,14.25
bad,0,owner,48,28,married,no_rec,fixed,45,80,1500,0,1260,1634,77.11138311,1.333333333
good,6,owner,48,35,married,no_rec,freelance,45,200,7000,0,1540,1603,96.069869,4.831168831
good,21,priv,60,51,married,no_rec,fixed,45,140,3000,0,1200,1200,100,4.75
good,5,rent,60,24,married,no_rec,fixed,73,125,0,0,700,1360,51.47058824,4.457142857
good,12,rent,60,34,married,no_rec,fixed,94,185,0,0,1200,1236,97.08737864,4.55
good,13,owner,42,34,married,no_rec,fixed,105,190,2500,300,1100,1395,78.85304659,3.130909091
good,10,owner,60,49,married,no_rec,freelance,60,150,23000,0,1200,1390,86.33093525,4.5
good,6,owner,60,28,married,no_rec,fixed,60,102,5000,0,700,1355,51.66051661,3.6
good,18,rent,60,57,married,no_rec,fixed,77,170,4000,0,1300,1604,81.04738155,4.292307692
good,15,owner,60,63,married,no_rec,fixed,60,315,3500,266,1000,1241,80.58017728,15.1404
bad,0,rent,12,37,married,no_rec,others,88,130,0,0,250,375,66.66666667,2.016
good,2,owner,36,27,married,no_rec,fixed,45,156,6000,0,700,1045,66.98564593,5.708571429
good,18,rent,60,39,married,no_rec,fixed,93,177,0,0,800,1781,44.91858506,6.3
good,12,owner,36,64,single,yes_rec,freelance,60,341,4500,0,900,900,100,11.24
good,25,owner,48,49,married,no_rec,freelance,105,240,12000,4200,1660,1698,97.76207303,2.689156627
good,8,owner,12,49,married,no_rec,freelance,60,142,6000,0,200,1048,19.08396947,4.92
good,20,owner,36,45,married,no_rec,freelance,75,333,5000,0,1000,2200,45.45454545,9.288
good,3,parents,60,27,single,no_rec,fixed,35,125,5000,0,770,1119,68.81143878,7.012987013
good,2,parents,36,30,married,no_rec,fixed,45,170,0,0,700,1090,64.22018349,6.428571429
bad,2,owner,36,33,married,no_rec,freelance,75,220,16000,500,3000,4100,73.17073171,1.68
good,15,owner,36,40,married,no_rec,fixed,60,230,8500,480,700,1400,50,8.496
good,3,owner,60,30,separated,no_rec,fixed,60,157,15000,0,1000,2010,49.75124378,5.82
good,4,parents,12,30,married,no_rec,fixed,60,340,16000,0,1900,2014,94.33962264,1.768421053
good,3,owner,60,25,married,no_rec,partime,60,120,3500,200,1000,1342,74.51564829,3.48
good,9,rent,60,40,single,no_rec,fixed,44,91,0,0,1000,1132,88.33922261,2.82
bad,4,priv,42,50,married,no_rec,freelance,60,150,7000,0,900,1048,85.8778626,4.2
good,2,owner,36,23,single,no_rec,fixed,35,88,5500,0,750,1218,61.57635468,2.544
good,1,other,48,28,single,no_rec,partime,35,120,0,0,900,1114,80.78994614,4.533333333
bad,2,rent,60,35,married,yes_rec,freelance,75,70,0,0,1000,1206,82.91873964,-0.3
good,2,rent,60,27,married,no_rec,fixed,56,106,0,0,650,2132,30.48780488,4.615384615
good,2,parents,36,19,married,no_rec,fixed,35,162,4000,100,400,570,70.1754386,11.34
good,3,parents,60,39,married,no_rec,fixed,45,77,0,0,1000,1094,91.40767824,1.92
good,8,priv,36,39,married,no_rec,fixed,75,128,2500,0,550,550,100,3.469090909
good,10,owner,48,55,widow,no_rec,fixed,35,189,9000,0,1200,1255,95.61752988,6.16
good,10,owner,36,32,married,no_rec,freelance,60,300,40000,3000,2000,4138,48.33252779,3.78
good,5,owner,60,54,married,no_rec,freelance,60,92,6000,1700,1700,1714,99.1831972,0.529411765
good,20,owner,48,58,married,no_rec,freelance,60,380,35000,0,1100,1150,95.65217391,13.96363636
good,5,owner,24,37,married,no_rec,freelance,75,500,14000,0,1500,2673,56.11672278,6.8
good,20,parents,60,36,married,no_rec,freelance,60,130,0,0,1200,1630,73.6196319,3.5
good,12,owner,60,28,married,no_rec,fixed,45,141,6000,400,1100,1544,71.24352332,5.018181818
good,13,owner,60,38,married,no_rec,fixed,75,220,6500,3600,1000,1195,83.68200837,6.54
good,11,owner,36,26,married,no_rec,fixed,60,146,5000,1300,400,1206,33.16749585,6.57
good,17,owner,60,41,married,no_rec,freelance,75,250,13500,3700,1400,2050,68.29268293,5.914285714
good,6,owner,36,42,married,no_rec,fixed,60,132,6000,0,1200,1513,79.31262393,2.16
good,22,owner,6,46,married,no_rec,freelance,90,150,75000,0,3000,3300,90.90909091,0.12
good,25,rent,60,52,married,no_rec,fixed,73,127,0,0,1030,1250,82.4,3.145631068
bad,8,owner,60,30,married,no_rec,partime,60,90,3000,500,1000,1339,74.68259895,1.5
bad,19,owner,60,47,married,yes_rec,freelance,90,166,12500,1000,875,875,100,4.525714286
good,3,owner,18,66,married,no_rec,others,45,69,12000,0,500,1101,45.41326067,0.864
good,35,owner,60,54,married,no_rec,fixed,45,182,4000,0,1000,1568,63.7755102,8.22
